size,threshold,random,reversed,almost_sorted
14700,5,6780,5432,5340
14700,10,5747,4377,4280
14700,15,5046,3776,3571
14700,20,5036,3779,3579
14700,30,4638,3618,3047
14700,50,4641,3618,3044
14800,5,6826,5505,5362
14800,10,5819,4386,4300
14800,15,5029,3764,3568
14800,20,5026,3762,3558
14800,30,4634,3603,3045
14800,50,4689,3623,3045
14900,5,6807,5441,5340
14900,10,5739,4398,4300
14900,15,5063,3796,3584
14900,20,5069,3791,3605
14900,30,4698,3649,3054
14900,50,4676,3676,3113
15000,5,6908,5542,5390
15000,10,5788,4460,4324
15000,15,5093,3806,3602
15000,20,5131,3826,3650
15000,30,4752,3685,3101
15000,50,4737,3675,3081
15100,5,6891,5547,5433
15100,10,5869,4471,4362
15100,15,5143,3858,3650
15100,20,5126,3844,3631
15100,30,4743,3732,3118
15100,50,4783,3689,3101
15200,5,6955,5581,5483
15200,10,5856,4492,4408
15200,15,5167,3860,3642
15200,20,5169,3876,3692
15200,30,4813,3739,3122
15200,50,4839,3763,3118
15300,5,7022,5613,5510
15300,10,5912,4525,4434
15300,15,5195,3889,3683
15300,20,5251,3902,3712
15300,30,4837,3784,3150
15300,50,4815,3759,3142
15400,5,7040,5622,5519
15400,10,5916,4515,4413
15400,15,5305,3937,3748
15400,20,5241,3933,3701
15400,30,4905,3824,3232
15400,50,4889,3823,3173
15500,5,7044,5650,5529
15500,10,6357,4972,4750
15500,15,5519,4139,3889
15500,20,5302,3956,3721
15500,30,4978,3861,3340
15500,50,4909,3862,3199
15600,5,7084,5666,5575
15600,10,5983,4575,4461
15600,15,5454,4102,3916
15600,20,5310,3954,3746
15600,30,5103,3895,3452
15600,50,4931,3864,3204
15700,5,7155,5704,5631
15700,10,6043,4623,4501
15700,15,5569,4210,4013
15700,20,5339,4111,3752
15700,30,5219,3969,3618
15700,50,4969,3886,3228
15800,5,7131,5751,5647
15800,10,6093,4624,4552
15800,15,5708,4302,4115
15800,20,5371,4013,3799
15800,30,5361,4029,3738
15800,50,4993,3911,3236
15900,5,7231,5761,5687
15900,10,6121,4645,4571
15900,15,5776,4410,4207
15900,20,5416,4062,3795
15900,30,5404,4033,3810
15900,50,5065,3948,3284
16000,5,7271,5778,5663
16000,10,6127,4703,4558
16000,15,5884,4485,4318
16000,20,5435,4088,3831
16000,30,5456,4077,3825
16000,50,5057,3971,3270
16100,5,7246,5785,5694
16100,10,6178,4739,4635
16100,15,5987,4528,4396
16100,20,5458,4103,3842
16100,30,5463,4081,3839
16100,50,5108,3993,3308
16200,5,7301,5822,5760
16200,10,6187,4737,4601
16200,15,6052,4621,4476
16200,20,5486,4137,3877
16200,30,5520,4119,3871
16200,50,5129,4039,3327
16300,5,7364,5864,5754
16300,10,6205,4763,4648
16300,15,6155,4706,4571
16300,20,5510,4123,3880
16300,30,5509,4124,3892
16300,50,5133,4054,3341
16400,5,7397,5901,5759
16400,10,6308,4798,4674
16400,15,6297,4761,4685
16400,20,5565,4166,3927
16400,30,5587,4151,3913
16400,50,5191,4108,3366
16500,5,7461,5909,5819
16500,10,6293,4819,4694
16500,15,6331,4831,4711
16500,20,5696,4204,3961
16500,30,5591,4176,3925
16500,50,5241,4137,3391
16600,5,7590,6001,5955
16600,10,6441,4928,4765
16600,15,6425,4903,4765
16600,20,5774,4634,4362
16600,30,5732,4265,3981
16600,50,5271,4151,3410
16700,5,7484,5941,5869
16700,10,6381,4843,4731
16700,15,6393,4853,4732
16700,20,5688,4250,3993
16700,30,5668,4246,3980
16700,50,5305,4192,3417
16800,5,7513,5972,5883
16800,10,6426,4887,4777
16800,15,6403,4875,4784
16800,20,5741,4326,4040
16800,30,5804,4325,4056
16800,50,5362,4230,3460
16900,5,7587,5996,5931
16900,10,6899,4996,4816
16900,15,6566,4932,4844
16900,20,5872,4359,4085
16900,30,5858,4365,4054
16900,50,5524,4314,3525
17000,5,7636,6071,6003
17000,10,6511,4986,4814
17000,15,6538,4935,4846
17000,20,5817,4350,4109
17000,30,5777,4314,4041
17000,50,5387,4267,3477
17100,5,7624,6047,5960
17100,10,6523,5285,4848
17100,15,6517,4951,4828
17100,20,5793,4340,4059
17100,30,5811,4351,4074
17100,50,5418,4322,3489
17200,5,7682,6070,5991
17200,10,6547,4994,4854
17200,15,6550,4996,4861
17200,20,5831,4418,4087
17200,30,5824,4376,4085
17200,50,5444,4328,3521
17300,5,7733,6157,6034
17300,10,6604,5031,4942
17300,15,6604,5014,4906
17300,20,5891,4406,4123
17300,30,5907,4421,4137
17300,50,5491,4395,3562
17400,5,8011,6266,6141
17400,10,6648,5075,4914
17400,15,6630,5019,4910
17400,20,5897,4419,4128
17400,30,5894,4426,4121
17400,50,5521,4403,3553
17500,5,7796,6191,6085
17500,10,6658,5058,4930
17500,15,6695,5065,4941
17500,20,5944,4445,4156
17500,30,5923,4458,4158
17500,50,5560,4446,3592
17600,5,7823,6185,6126
17600,10,6699,5087,4971
17600,15,6714,5084,4952
17600,20,6004,4534,4194
17600,30,6011,4509,4204
17600,50,5627,4476,3610
17700,5,7884,6251,6185
17700,10,6749,5185,4992
17700,15,6739,5107,4994
17700,20,6027,4507,4207
17700,30,6051,4510,4237
17700,50,5687,4481,3606
17800,5,7905,6305,6193
17800,10,6813,5143,5038
17800,15,6814,5121,5042
