size,random,reversed,almost_sorted
83600,68093,59994,59678
83700,67199,58814,58384
83800,67380,58926,58632
83900,67166,58778,58583
84000,67336,59074,58868
84100,67888,60158,58930
84200,67533,59013,58877
84300,67573,59227,58912
84400,67665,59244,58941
84500,67777,59261,59066
84600,67906,59491,59066
84700,67883,59499,59075
84800,68157,59445,59202
84900,67991,59892,59409
85000,68146,59552,59487
85100,68219,59656,59478
85200,68366,59779,59508
85300,68593,59800,59616
85400,69917,61066,60694
85500,69660,60650,60253
85600,68742,60262,59946
85700,68830,60605,59833
85800,68994,60346,60057
85900,68944,60366,60126
86000,69127,60441,60258
86100,69252,60675,60366
86200,69565,60894,60604
86300,69439,60790,60484
86400,69612,60839,60657
86500,69701,61255,60534
86600,69818,61029,60946
86700,69915,61078,60975
86800,70105,61200,60980
86900,70054,61319,60965
87000,70155,61280,61142
87100,70120,61437,61144
87200,70247,61541,61271
87300,71569,62143,61757
87400,70573,62189,61508
87500,70452,61767,61353
87600,71187,62076,61885
87700,71319,62462,62330
87800,72403,62277,62034
87900,71407,62675,62494
88000,72745,65400,62946
88100,72111,62405,61972
88200,72601,63243,63350
88300,71905,63609,62521
88400,71956,63645,62831
88500,72330,63109,63139
88600,72856,63411,62785
88700,71558,62674,62172
88800,73533,64241,63521
88900,72257,63041,62854
89000,72361,63117,62966
89100,72639,63592,63070
89200,72731,63656,63227
89300,72529,63533,63163
89400,72906,63573,63257
89500,72994,63771,63534
89600,73101,63646,63569
89700,73246,64166,63750
89800,75638,65694,64054
89900,72880,63716,63336
90000,72668,63605,63515
90100,72992,68907,63997
90200,72832,63641,63526
90300,72902,63478,65741
90400,73719,64712,64296
90500,73594,64162,64177
90600,73423,66163,63924
90700,75367,64569,64315
90800,74323,67117,64971
90900,74179,64782,64907
91000,73916,64284,64121
91100,74541,64843,64811
91200,76301,64885,64781
91300,73899,64784,67674
91400,76254,65264,64791
91500,74518,65145,64767
91600,73924,64546,64298
91700,74148,64793,64497
91800,74855,65521,65339
91900,74102,64688,64482
92000,74102,65451,64832
92100,74418,65018,64576
92200,75920,65522,64986
92300,74458,64954,64842
92400,75049,68796,65379
92500,75015,65470,65138
92600,75449,65929,65575
92700,74781,65717,65717
92800,74503,65181,64892
92900,74948,65540,65342
93000,75117,65794,67016
93100,74871,65644,65259
93200,75095,65693,65225
93300,75073,66132,65304
93400,75393,65649,65520
93500,75754,66297,66018
93600,75374,67602,65884
93700,76933,66285,66085
93800,76118,66979,66590
93900,75927,66814,66279
94000,76485,66698,66564
94100,76587,66998,66561
94200,76386,67008,66590
94300,75899,66615,65881
94400,75949,66405,66084
94500,77254,67492,67316
94600,76947,66372,66087
94700,76379,66890,66513
94800,77297,67525,67003
94900,76966,67166,67183
95000,78910,67481,66926
95100,78337,68178,67567
95200,76843,67245,67006
95300,77150,67960,67513
95400,77832,68547,67779
95500,77237,67814,67094
95600,77341,67584,67429
95700,77588,67839,67606
95800,78055,67938,67549
95900,78024,68894,68241
96000,77623,68018,67399
96100,77839,67899,67584
96200,79673,68321,67935
96300,77886,69675,67917
96400,78545,68667,68199
96500,78199,68548,68148
96600,78722,68855,68308
96700,83961,69029,68726
96800,78187,68443,67888
96900,77816,68472,67804
97000,77878,68216,67800
97100,78003,68287,67857
97200,82467,69480,72167
97300,78839,69160,68583
97400,78385,68457,68204
97500,79057,69397,69069
97600,78719,69133,68519
97700,79219,69281,68733
97800,79053,68977,68888
97900,79195,69055,68857
98000,79204,69503,69281
98100,78708,68930,68530
98200,79506,69536,69025
98300,80140,69943,69857
98400,79727,69914,69607
98500,79567,69775,69618
98600,80213,69969,69360
98700,82172,69759,69566
98800,79656,70072,69586
98900,80243,70243,69835
99000,80850,70875,70272
99100,80652,70699,70271
99200,80688,70840,70437
99300,80466,70550,70131
99400,80563,70388,70092
99500,79927,70063,69747
99600,80889,70776,70597
99700,80726,70985,70335
99800,80908,70800,70935
99900,81372,70936,70585
100000,81769,71273,70801
